email,password,type,status,role,token
activeMember11@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxMSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxMSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MSwiZXhwIjo0OTM1MDg2NDkxfQ.-s-i5S6h-yJhqo0NtmYZwxKioBUeK050I3hXSUvw0To
activeMember12@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxMiIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxMiwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MiwiZXhwIjo0OTM1MDg2NDkyfQ.m2WTB_3DvxStStHfBolC7xWy3jkcnEpy4FrSjbLCQdM
activeMember13@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxMyIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxMywicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MiwiZXhwIjo0OTM1MDg2NDkyfQ.CfNaleyLxe3anBbU4fjVzNuLkPdyT7rpORjSAYRV35w
activeMember14@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxNCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxNCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MiwiZXhwIjo0OTM1MDg2NDkyfQ.fjIXenWb5s3pC4pCWMv-KXOFGL-VCTGukGFca-oRpVw
activeMember15@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxNSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxNSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MiwiZXhwIjo0OTM1MDg2NDkyfQ.skyRLgvlfjdOCgZvHL0TOp5_LBvb9DH55e6P0pYtQ2M
activeMember16@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxNiIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxNiwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MiwiZXhwIjo0OTM1MDg2NDkyfQ.SicJLzOMAQO04Vq7HxGrTteFX8Gq10RXYCiPAPnuOlk
activeMember17@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxNyIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxNywicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MiwiZXhwIjo0OTM1MDg2NDkyfQ.gy42k6nF-CxTnvt78O9EGdrTsC3_twOYdfAaqk8MaPg
activeMember18@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxOCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxOCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MiwiZXhwIjo0OTM1MDg2NDkyfQ.A1Fr1vqsSJ9GhShDVXeTGyFHUtap7xFNugttAdORq8Y
activeMember19@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxOSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxOSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MiwiZXhwIjo0OTM1MDg2NDkyfQ.tfDpGYX_mpl5TqDcROOPwI5P7FwrlcuRg0ODdsX81b4
activeMember20@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyMCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyMCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MiwiZXhwIjo0OTM1MDg2NDkyfQ.n4P7TPRRdlLinux-xIELu2O2-Dfpg00azBwfqlQtUwA
activeMember21@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyMSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyMSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.0d-ryS-mTCP4wBiPXWGoxOMWLSsMcFqow6Pa2i_mmvs
activeMember22@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyMiIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyMiwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.uj6SBE47rhwFgjGme-vDlz5WxLUduoRemuy0QKHAk_0
activeMember23@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyMyIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyMywicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.qFR-7_lk5xCI3Icev5Jqy1ZFMo0QoZ4ntMGW5tb24Nw
activeMember24@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyNCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyNCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.54tSHO5eSppf3hqVro8qRY3nfmGIV49WFY3sDgzBbgY
activeMember25@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyNSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyNSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.9MnJgPINOIhT69hCr2trHUyu8RFcNoK8ubght58sT0I
activeMember26@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyNiIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyNiwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.yUOdRbSqEKuBObYz9TsC0gca_0dmP3wJwVaLSKMrbY8
activeMember27@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyNyIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyNywicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.jyP8k4Fbky3x8_7Nl8fY54NDdaQMiRMsvVUSm1wlGPI
activeMember28@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyOCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyOCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.fK256iiHKJcm3kA0--52YCrAz_mwLCkHHg8ITHNt6vI
activeMember29@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyOSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoyOSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.perwFIhiWlKFZSIR4t4hO3rS90W8V6_ApSxJW8cFRL4
activeMember30@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzMCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozMCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MywiZXhwIjo0OTM1MDg2NDkzfQ.mNgz4lcc6ahuv-C_iylfU9AZz--oydM_T-k-R4buGIE
activeMember31@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzMSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozMSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NCwiZXhwIjo0OTM1MDg2NDk0fQ.3KjL6PMuoKgZDdQKAgsOYCn_B809mq0rZoux1skXRRA
activeMember32@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzMiIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozMiwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NCwiZXhwIjo0OTM1MDg2NDk0fQ.2x82374Vf1A59LuBk76sL-WyYgO7xDFtEVAdnrhT8Jk
activeMember33@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzMyIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozMywicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NCwiZXhwIjo0OTM1MDg2NDk0fQ.FDT9PZML4uXgKgI8k9uYbECBFqF59mvv_7aK7LjeU4Q
activeMember34@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzNCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozNCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NCwiZXhwIjo0OTM1MDg2NDk0fQ.9lNFf_rfTUCSnJy03ERX8CrqFRO9Qv-z7TE4yUTv6qY
activeMember35@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzNSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozNSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NCwiZXhwIjo0OTM1MDg2NDk0fQ.LmneXG6YmI9ndkRXdQdgKLM6cx053-mF3Zf0FqrH6q4
activeMember36@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzNiIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozNiwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NCwiZXhwIjo0OTM1MDg2NDk0fQ.r35P2CQl4ZKBkBIrTE4K1DpA8E69qQWkyY8OWZOBfN0
activeMember37@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzNyIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozNywicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NCwiZXhwIjo0OTM1MDg2NDk0fQ.W9ApvbDEozjH9OuZ5PuziUyUCZpn24RMtt4FO-dKgfw
activeMember38@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzOCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozOCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NCwiZXhwIjo0OTM1MDg2NDk0fQ.mnWTMJw0PlDtBV40Ke6yTGkA-d9FEHUzC1hxrl2CsZ8
activeMember39@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzOSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjozOSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NCwiZXhwIjo0OTM1MDg2NDk0fQ.vfN60ax3Zkyi9kho9lzL2shH0IM7Fdo62mC2_crBiGI
activeMember40@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0MCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjo0MCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NSwiZXhwIjo0OTM1MDg2NDk1fQ.JB5fScnyNbP-Z6Qb4tAn7ApMXdN7gaESI0077bPd0iI
activeMember41@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0MSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjo0MSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NSwiZXhwIjo0OTM1MDg2NDk1fQ.m3jvbKjYT2R5w22wtHb8Dt1-xoAGiW1tXTsCSFQX_Jk
activeMember42@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0MiIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjo0Miwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NSwiZXhwIjo0OTM1MDg2NDk1fQ.Wcx8XIS672dyz4-1A5Nc_RjFKtObn7tIk4lepJDAhu4
activeMember43@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0MyIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjo0Mywicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NSwiZXhwIjo0OTM1MDg2NDk1fQ._7NxLcrwSn647rP0gQMuw2lxkM6jLjzz8uhGVs2gcSU
activeMember44@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0NCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjo0NCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NSwiZXhwIjo0OTM1MDg2NDk1fQ.jIpqdBEKVnoj610iHHV_-Y25lgctBfV_KYH0Px7U4WY
activeMember45@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0NSIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjo0NSwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NSwiZXhwIjo0OTM1MDg2NDk1fQ.GDgJL6mceHWaiBiald1g6dA3I-BGjdIhf7KEdOsnePw
activeMember46@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0NiIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjo0Niwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NSwiZXhwIjo0OTM1MDg2NDk1fQ.M_qib9Q_phxhyzHyT_cT0WgL1a9BNoHwZaNbcNbbbNI
activeMember47@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0NyIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjo0Nywicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NSwiZXhwIjo0OTM1MDg2NDk1fQ.Vh3gXQPrh7EmkYXUQpFzq6xxozdsnngp1KQ8E_9iTJE
activeMember48@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0OCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjo0OCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5NSwiZXhwIjo0OTM1MDg2NDk1fQ.h6EiFzoo8afi-uEO5TY6LkzeJIjdt9J7gbZb9Njd-fk
